video_id,title,filename,pub_date,assemblyai_transcript_id
tXYxclheKE0,DJ The Sangha UK 192 02 15 24,2024-02-15-dj-the-sangha-uk-192-02-15-24.md,2024-02-15,39ddc76d-2a06-4d2d-90e2-f78c572c8695
yy8tmvWSzoI,A Anonymous 2 02 16 24,2024-02-16-a-anonymous-2-02-16-24.md,2024-02-16,0ab6b452-52e1-429f-8ac7-e408a9955800
UmoUZuqHHTE,The Sangha US 104 02 17 24,2024-02-17-the-sangha-us-104-02-17-24.md,2024-02-17,2f2743f2-b0e6-4a0f-b0f0-974d25462795
VXcqmKGl8ww,The Sangha UK 193 02 18 24,2024-02-18-the-sangha-uk-193-02-18-24.md,2024-02-18,f0c0cbc8-3db3-4fd2-881b-8fc929b6d2e6
NNZhVl4QmSQ,Breath Easy and Watch the Hands to Build Sati A Anonymous 3 02 20 24,2024-02-20-breath-easy-and-watch-the-hands-to-build-sati-a-anonymous-3-02-20-24.md,2024-02-20,9e2bcc84-e6bf-4f5e-9582-14e0c4f8a651
glIN2n_DiQ4,Ivan 17 02 20 24,2024-02-20-ivan-17-02-20-24.md,2024-02-20,77ac5989-b2d6-4114-9dae-c95ef0eddf2a
NP9abKUe8GM,"Does ""No Self"" Matter? Dhamma Dasa & DJ The Sangha UK 194 02 21 24",2024-02-21-does--no-self--matter--dhamma-dasa---dj-the-sangha-uk-194-02-21-24.md,2024-02-21,bc001bdf-a5ed-4502-95cf-fefa19534969
3t3pttrQoKI,Ivan 5 02 21 24,2024-02-21-ivan-5-02-21-24.md,2024-02-21,d0acc4d6-5553-45aa-b099-2f128ac0622a
kQj-G_qV_Mg,Boundaries The Sangha US 105 02 24 24,2024-02-24-boundaries-the-sangha-us-105-02-24-24.md,2024-02-24,082d895f-a975-44e6-92c7-7b190752c606
wm1dWEAS-Kk,Free Will and the Correct Way to Practice The Sangha UK 195 02 25 24,2024-02-25-free-will-and-the-correct-way-to-practice-the-sangha-uk-195-02-25-24.md,2024-02-25,734549d3-5618-4e04-8dc5-928446583a31
_jJQ1N4-D9g,Anapanasati and Goenka Alexandre 1 02 26 24,2024-02-26-anapanasati-and-goenka-alexandre-1-02-26-24.md,2024-02-26,ef25c210-25ac-46db-be8f-1f7e2354126b
5ORclL5pjYw,A Anonymous 4 02 27 24,2024-02-27-a-anonymous-4-02-27-24.md,2024-02-27,6c2caef9-7e7e-4c6b-8117-9b006e2dfd32
